Start Time:  27-08-2025 17:21:23          Time Completed:  27-08-2025 18:11:12      Elapsed Time:  00:49:48
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\8A_0825a.txt
Plot File:     C:\IDEASVSM\LS_QC\8A_0825a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\8A_0825a.dat

***DATA***

Field(G)	 Moment(emu)	
 19002.4 	 0.0290984 	
 18000.1 	 0.0291366 	
 16997.3 	 0.0291575 	
 16000.3 	 0.0291451 	
 15000 	 0.0291394 	
 14000 	 0.0291297 	
 13000 	 0.0291061 	
 12000 	 0.0290788 	
 11000 	 0.0290329 	
 10000 	 0.0289756 	
 8999.99 	 0.0289032 	
 7999.92 	 0.028814 	
 7000.16 	 0.0286879 	
 6000.28 	 0.0285234 	
 5000.04 	 0.0283068 	
 4000.02 	 0.0279037 	
 2999.76 	 0.0272752 	
 2000 	 0.0260915 	
 1000.02 	 0.023035 	
 949.818 	 0.0227359 	
 900.053 	 0.0224164 	
 849.979 	 0.02207 	
 800.021 	 0.0216901 	
 749.968 	 0.0212745 	
 699.992 	 0.0208089 	
 650.003 	 0.0202984 	
 599.986 	 0.0197249 	
 549.994 	 0.0190936 	
 500.003 	 0.0183872 	
 449.998 	 0.0176009 	
 400.006 	 0.0167067 	
 350.013 	 0.0156988 	
 299.995 	 0.0145828 	
 249.992 	 0.0133228 	
 200.005 	 0.0119527 	
 190.002 	 0.0115895 	
 180.006 	 0.0112706 	
 170.011 	 0.0109567 	
 159.996 	 0.0106381 	
 149.999 	 0.0103284 	
 139.998 	 0.010019 	
 130.004 	 0.00970274 	
 119.999 	 0.00938342 	
 110 	 0.0090467 	
 99.9915 	 0.00872611 	
 89.992 	 0.00842681 	
 80.0039 	 0.00811053 	
 69.9999 	 0.0078013 	
 59.9967 	 0.0074745 	
 49.9943 	 0.0071414 	
 40.0066 	 0.00680041 	
 30.0003 	 0.00642718 	
 20.0081 	 0.00606619 	
 17.9893 	 0.00590197 	
 15.9812 	 0.00577296 	
 14.0112 	 0.00565069 	
 11.9961 	 0.00552071 	
 10.0018 	 0.00536821 	
 8.00266 	 0.00524398 	
 5.99805 	 0.0051124 	
 3.9949 	 0.00495462 	
 2.00344 	 0.00472203 	
 0.00215448 	 0.00448314 	
-2.0079 	 0.00427701 	
-4.01469 	 0.00412446 	
-6.01121 	 0.00398451 	
-8.00944 	 0.00381744 	
-9.99358 	 0.0036883 	
-12.0015 	 0.00358417 	
-13.997 	 0.00346033 	
-15.9973 	 0.00334209 	
-18.0027 	 0.00323755 	
-20.0089 	 0.00315189 	
-30.0039 	 0.00277796 	
-40.0002 	 0.00240706 	
-50.0081 	 0.00197897 	
-59.999 	 0.00156184 	
-69.9996 	 0.00114275 	
-79.9945 	 0.000694619 	
-90.0005 	 0.000168273 	
-99.9943 	-0.00019604 	
-110.01 	-0.000767738 	
-120.007 	-0.00111524 	
-129.993 	-0.00145561 	
-140.003 	-0.00180632 	
-150.009 	-0.00215382 	
-159.994 	-0.00250048 	
-170.002 	-0.00284706 	
-180.002 	-0.00317973 	
-189.999 	-0.00351004 	
-199.998 	-0.00382774 	
-250.003 	-0.00525882 	
-300.004 	-0.00658889 	
-349.995 	-0.00816633 	
-399.995 	-0.00990458 	
-450.008 	-0.0116589 	
-500.019 	-0.0132869 	
-550.004 	-0.0147883 	
-600.006 	-0.016321 	
-649.992 	-0.0173297 	
-700.003 	-0.0183161 	
-750.005 	-0.0191823 	
-799.991 	-0.0199308 	
-850.009 	-0.0205734 	
-900.001 	-0.0211293 	
-949.999 	-0.0216141 	
-999.995 	-0.0220363 	
-2000.01 	-0.0257593 	
-3000.03 	-0.0270469 	
-4000 	-0.0277053 	
-5000.01 	-0.0281167 	
-6000.01 	-0.0283355 	
-7000 	-0.0284996 	
-8000 	-0.0286247 	
-9000 	-0.0287148 	
-10000 	-0.0287892 	
-11000 	-0.0288429 	
-12000 	-0.0288841 	
-13000 	-0.0289173 	
-14000 	-0.0289392 	
-14999.9 	-0.0289499 	
-16000 	-0.0289618 	
-17000 	-0.0289674 	
-18000 	-0.0289675 	
-19000 	-0.0289647 	
-18000 	-0.0289868 	
-17000 	-0.028999 	
-16000 	-0.0290043 	
-14999.9 	-0.0290059 	
-14000 	-0.0289881 	
-13000 	-0.0289643 	
-12000 	-0.0289337 	
-11000 	-0.0288896 	
-9999.98 	-0.0288347 	
-9000 	-0.0287593 	
-8000 	-0.028667 	
