Start Time:  04-06-2025 14:56:21          Time Completed:  04-06-2025 15:46:05      Elapsed Time:  00:49:43
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\8A.txt
Plot File:     C:\IDEASVSM\LS_QC\8A.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\8A.dat

***DATA***

Field(G)	 Moment(emu)	
 18999.9 	 0.0317538 	
 17999.9 	 0.031689 	
 16999.9 	 0.031591 	
 16000 	 0.0314885 	
 15000 	 0.0313557 	
 14000 	 0.0311894 	
 13000 	 0.0310204 	
 12000 	 0.0308238 	
 11000 	 0.0305712 	
 10000 	 0.0302823 	
 9000.03 	 0.0299653 	
 7999.97 	 0.0295242 	
 7000.01 	 0.0290778 	
 5999.97 	 0.0285465 	
 5000.01 	 0.0277177 	
 4000.02 	 0.0267458 	
 2999.99 	 0.025653 	
 2000 	 0.024157 	
 999.996 	 0.0203283 	
 949.995 	 0.0196939 	
 899.995 	 0.0192435 	
 849.993 	 0.0187919 	
 799.995 	 0.0183325 	
 749.997 	 0.0177876 	
 699.997 	 0.0172505 	
 649.995 	 0.0167329 	
 599.997 	 0.0161572 	
 549.996 	 0.0154375 	
 499.995 	 0.0146289 	
 449.995 	 0.0136977 	
 399.999 	 0.0127601 	
 349.99 	 0.0115792 	
 299.992 	 0.0104821 	
 250.001 	 0.0092909 	
 200.005 	 0.00799959 	
 189.998 	 0.00762405 	
 179.996 	 0.00728616 	
 169.999 	 0.00699067 	
 159.998 	 0.00666224 	
 149.997 	 0.00638126 	
 139.997 	 0.00608456 	
 129.999 	 0.00580979 	
 119.995 	 0.00556234 	
 109.996 	 0.0052632 	
 100.008 	 0.00501885 	
 90.0001 	 0.00476385 	
 79.9985 	 0.00453253 	
 70.0018 	 0.00425365 	
 60.0035 	 0.00404337 	
 50.0058 	 0.00384114 	
 40.0004 	 0.00363388 	
 30.0055 	 0.00342955 	
 19.9946 	 0.00320968 	
 17.997 	 0.00309367 	
 15.9955 	 0.00299721 	
 13.9984 	 0.00291099 	
 11.9952 	 0.00283649 	
 9.99654 	 0.00276202 	
 8.00506 	 0.00268763 	
 5.99365 	 0.00260293 	
 3.99913 	 0.00249289 	
 2.0006 	 0.00227493 	
 0.000179895 	 0.00177266 	
-2.00439 	 0.000849945 	
-3.99884 	 0.000118031 	
-6.00437 	-0.000112973 	
-7.99254 	-0.000365057 	
-9.99615 	-0.000681524 	
-12.0091 	-0.000815551 	
-14.0071 	-0.000962952 	
-15.9927 	-0.00111731 	
-17.9949 	-0.00128521 	
-20.0092 	-0.00148287 	
-30.006 	-0.00203222 	
-40.0029 	-0.00229567 	
-50.0089 	-0.00247875 	
-59.998 	-0.00263568 	
-70.0061 	-0.00277689 	
-79.9909 	-0.00290745 	
-90.0102 	-0.00303064 	
-100.009 	-0.00315277 	
-110.004 	-0.00326645 	
-119.997 	-0.00338875 	
-130.001 	-0.00350955 	
-139.993 	-0.00362966 	
-149.997 	-0.00374645 	
-159.998 	-0.00387462 	
-170.004 	-0.00400046 	
-179.998 	-0.00412965 	
-189.995 	-0.0042605 	
-199.99 	-0.00438783 	
-250.002 	-0.00508895 	
-300.007 	-0.00584444 	
-350 	-0.00679351 	
-400.003 	-0.00791913 	
-449.995 	-0.0090773 	
-500.001 	-0.010228 	
-550.004 	-0.0112644 	
-600.006 	-0.0122348 	
-649.999 	-0.0130745 	
-700.012 	-0.0138869 	
-750.008 	-0.0146431 	
-800.013 	-0.0153052 	
-850.005 	-0.0157578 	
-900.005 	-0.0161386 	
-950.007 	-0.0165099 	
-1000.01 	-0.0168908 	
-2000.01 	-0.0207778 	
-3000.04 	-0.0226781 	
-4000.03 	-0.0241786 	
-5000 	-0.0252872 	
-6000.01 	-0.0264824 	
-7000.01 	-0.0274029 	
-7999.99 	-0.0282303 	
-9000 	-0.0287399 	
-9999.99 	-0.029309 	
-11000 	-0.0296594 	
-12000 	-0.0299987 	
-13000 	-0.0302167 	
-14000 	-0.0304844 	
-15000 	-0.0309459 	
-16000 	-0.0310844 	
-17000 	-0.0312143 	
-18000 	-0.0313397 	
-19000 	-0.0314777 	
-18000 	-0.0314497 	
-17000 	-0.0313757 	
-16000 	-0.0313015 	
-15000 	-0.0311926 	
-14000 	-0.0310269 	
-13000 	-0.0308743 	
-12000 	-0.0306605 	
-11000 	-0.0304301 	
-9999.99 	-0.0301652 	
-9000 	-0.0297918 	
-7999.99 	-0.0293829 	
-7000 	-0.0289055 	
-6000 	-0.0284564 	
-4999.99 	-0.0277923 	
-4000.01 	-0.0269837 	
-3000.02 	-0.0258946 	
-2000 	-0.0236459 	
-999.993 	-0.0204682 	
-949.983 	-0.0198134 	
-899.994 	-0.0193174 	
-850.003 	-0.0188246 	
-799.993 	-0.0183465 	
-749.994 	-0.0178489 	
-699.997 	-0.0173619 	
-650.001 	-0.0167976 	
-599.999 	-0.0161727 	
-549.996 	-0.0155043 	
-499.991 	-0.0147459 	
-450.002 	-0.013879 	
-399.999 	-0.012926 	
-349.993 	-0.0117673 	
-299.994 	-0.0106382 	
-249.99 	-0.00935254 	
-199.985 	-0.00795969 	
-189.998 	-0.00756752 	
-179.997 	-0.00723274 	
-169.997 	-0.00695638 	
-160.001 	-0.00665694 	
-149.998 	-0.0064163 	
-140.003 	-0.0061372 	
-130.006 	-0.00585275 	
-120.001 	-0.00558463 	
-109.996 	-0.00532235 	
-100.002 	-0.00505724 	
-89.9936 	-0.00482723 	
-79.995 	-0.00459781 	
-70.0021 	-0.00428794 	
-59.9945 	-0.00408973 	
-50.0051 	-0.00389196 	
-39.9881 	-0.00368923 	
-29.995 	-0.00348681 	
-20.0026 	-0.00327373 	
-17.9929 	-0.00316714 	
-16.0018 	-0.00308072 	
-13.997 	-0.00299758 	
-12.006 	-0.00291308 	
-9.99272 	-0.00283289 	
-8.00259 	-0.00274858 	
-6.00133 	-0.00265229 	
-4.00258 	-0.00251631 	
-1.99263 	-0.00225771 	
 0.0114841 	-0.00174742 	
 2.00209 	-0.000897893 	
 4.00579 	-0.0000696003 	
 5.99746 	 0.000128484 	
 7.99628 	 0.000361477 	
 10.0051 	 0.000709887 	
 11.998 	 0.000840868 	
 14.0098 	 0.000986793 	
 15.9982 	 0.00113965 	
 17.9989 	 0.00129143 	
 20.0025 	 0.00152723 	
 30.0052 	 0.00184612 	
 40.0105 	 0.00219688 	
 50.0048 	 0.00245025 	
 60.0027 	 0.00263833 	
 70.0001 	 0.00280451 	
 79.995 	 0.00295933 	
 90.0019 	 0.00310569 	
 99.997 	 0.00323616 	
 110.001 	 0.00335921 	
 120.002 	 0.00348123 	
 130.004 	 0.00360603 	
 139.997 	 0.00373263 	
 150.006 	 0.00384338 	
 160.003 	 0.00396437 	
 170.011 	 0.00408856 	
 179.996 	 0.00421583 	
 189.992 	 0.00434308 	
 200.004 	 0.00452574 	
 250.007 	 0.00523995 	
 300.006 	 0.00600351 	
 349.999 	 0.00699147 	
 400.005 	 0.00816767 	
 450.008 	 0.00938676 	
 499.992 	 0.0106189 	
 549.997 	 0.0116414 	
 599.999 	 0.012598 	
 650.01 	 0.0134074 	
 700.006 	 0.0141812 	
 750.001 	 0.0149688 	
 800.004 	 0.0155044 	
 850.016 	 0.0159519 	
 900.006 	 0.0163241 	
 950.009 	 0.0167038 	
 999.995 	 0.0170262 	
 2000.01 	 0.0206746 	
 3000.01 	 0.022781 	
 4000 	 0.0242579 	
 5000.02 	 0.0253688 	
 6000.01 	 0.0262231 	
 7000.01 	 0.0275449 	
 8000.01 	 0.0285781 	
 8999.98 	 0.0291238 	
 10000 	 0.0296189 	
 11000 	 0.0300041 	
 12000 	 0.0302937 	
 13000 	 0.0305684 	
 14000 	 0.0307812 	
 15000 	 0.0311273 	
 16000 	 0.0313455 	
 17000 	 0.0314557 	
 18000 	 0.0315732 	
 19000 	 0.0316828 	

	
	
